additionalInfo,address,city,description,district,flatFloor,floorsCount,house,price,remoteness,remotenessType,roomsNumber,squareKitchen,squareLive,squareTotal,street,underground
,"Москва, район Раменки, Мосфильмовская ул., 88к4",Москва,"ПРЕДСТАВИТЕЛЬ ОТДЕЛА ПРОДАЖ НА ОБЪЕКТЕ/КЛЮЧИ! ОПЕРАТИВНЫЙ ПОКАЗ. Лот 34960. Собственность. Продается шикарная четырехкомнатная квартира. 7 окон 2 из них с балконом. Дополнительно имеется машиноместо. ЖК ""Мосфильмовский"" на западе Москвы, в респектабельном районе с давно сформировавшейся инфраструктурой высокого уровня. Рядом с комплексом проходит живописная излучина реки Раменки. Неподалеку от ЖК ""Мосфильмовский"" расположены легендарные Ботанический сад МГУ и Парк 50-летия Октября. Путь на автомобиле до центра Москвы займёт не более 15 минут. Рядом с жилым комплексом будет открыта новая станция метро ""Раменки"". Роскошная собственная инфраструктура. Супермаркеты, фитнес-центр, рестораны, школа, 2 детских сада. В ЖК ""Мосфильмовский"" установлены лифты премиум-класса фирмы Otis. Входные группы комплекса - это своеобразная визитная карточка комплекса. Их отделка выполнена по индивидуальному дизайн-проекту с применением роскошных и экологически чистых материалов. Собственная огороженная и охраняемая территория. Доступ на территорию комплекса осуществляется по пропускной системе.",район Раменки,4,21,д.88к4,39 000 000,5,пешком,4,20,90,145,Мосфильмовская ул.,м. Раменки
,"Москва, пос. Коммунарка, район Сосенское, ул. Липовый Парк",Москва,"Действуют скидки! Возможна рассрочка! Помощь в получении ипотеки! Дом строится! Срок сдачи конец 3 квартала 2019г. Квартира без отделки свободной планировки, отопление разведено по полу и установлены батареи, трубы разведены под сантехнику с установленными счетчиками, электричество заведено в квартиру до щитка, пластиковые окна, остекленная лоджия, установлена система пожарной сигнализации. Дом класса ""Комфорт"", монолитный. Уютные и безопасные дворы без машин, с пешеходными дорожками, зелеными насаждениями, спортивными и игровыми площадками, местами для отдыха. Наземный паркинг. Дизайнерская отделка входной группы. Консьерж. Огороженная территория с пропускной системой и видеонаблюдением, с превосходными видами из окон на лесные массивы Бутовского лесопарка. Отличная экология! Развитая инфраструктура: торговые центры, магазины, школа, детский сад, салоны красоты, кафе, пекарни, фитнес-клуб, бассейн. Удобная транспортная доступность: Москва А101 расположен в 6.5 км от МКАД по Калужскому шоссе. В 2019 году будет открыта станция метро Столбово, дорога до которой займет 10 минут пешком. В данный момент ближайшей станцией метро является Тёплый стан. (до неё 10-12 минут на общественном транспорте).",пос. Коммунарка,2,15,ул. Липовый Парк,5 700 000,5,на машине,2,"14,2","32,4","64,6",район Сосенское,м. Теплый Стан
,"Москва, район Якиманка, ул. Большая Якиманка, 17/2С1",Москва,"Номер объекта: 012325. Предлагается на продажу пятикомнатная квартира. В квартире располагается 3 спальни с собственными гардеробными, две с собственными с/у, кабинет, большая гостиная с действующим камином и просторная столовая-кухня. Полностью встроенная бытовая техника, а также вся мебель. Дорогостоящий ремонт, мебель выполнена на заказ. Окна выходят во внутренний двор, а также в сторону Президент-отеля, памятника Петру-I и набережной.",район Якиманка,4,7,д.17/2С1,130 000 000,,,5,,,241,ул. Большая Якиманка,м. Полянка
,"Москва, район Тверской, Тверская ул., 6С5",Москва,"Номер объекта: 012224. Предлагается для продажи очень красивая квартира, площадью 85 м2. Реконструированный дом с огороженной территорией. Закрепленно 2 машиноместа. Чистые современные входные группы.Высота потолков 3.1 м. Рациональная планировка: кухня+гостиная, две изолированные комнаты. Две гардеробные комнаты, совмещенный санузел. Эксклюзивный дизайнерский ремонт выполнен с использование дорогих зарубежных материалов, замена всех коммуникаций, немецкая сантехника grohe и villeroy boch. Мебель от ведущих итальянских производителей, техника Miele, ламинат Alloc, кухня и двери из массива дуба.",район Тверской,2,6,д.6С5,41 900 000,,,3,,,85,Тверская ул.,м. Тверская
,"Москва, район Арбат, Кривоарбатский пер., 8С2",Москва,"Номер объекта: 012210. Предлагается на продажу эксклюзивная видовая квартира площадью 148,6 м2 в современном жилом доме на Кривоарбатском переулке. Дом расположен в 5 минутах ходьбы от станции метро Смоленская. Облагороженная охраняемая территория с гостевой парковкой и зелеными насаждениями. В квартире выполнен современный ремонт с использованием дорогостоящих зарубежных материалов. Светлая, просторная квартира оснащена дорогой встраеваемой техникой. В квартире распологается просторный холл, большая гостиная комната с домашним кинотеатром и небольшой зоной отдыха, функциональная кухня-столовая, из которой открывается шикарный эркерный панорамный вид на величественную сталинскую высотку МИД и на историческую часть города, светлая спальня, 2 С/У, постирочная комната и прекраснейшая большая лоджия из панорманых окон которой открываются красивые виды. В доме есть двухуровневый подземный паркинг. В собственности одно парковочное место.",район Арбат,7,8,д.8С2,99 000 000,,,2,,,"148,6",Кривоарбатский пер.,м. Смоленская
,"Москва, район Хамовники, 1-й Обыденский пер., 5",Москва,"Объект 537747 Предлагается 4-комнатная квартира 185 кв.м. Грамотное зонирование пространства создает уют и комфорт для вашего проживания: большая гостиная, кухня-столовая, 2 спальни, кабинет, 3 с/у. В квартире выполнен ремонт в современном классическом стиле. Элитный жилой комплекс на 20 квартир ""Необыденный дом"" расположен в шаговой доступности от Храма Христа Спасителя, в одном из лучших районов ЦАО. Ансамбль находится между Пречистенской набережной и улицей Остоженка, в переулке, который практически полностью состоит из элитных домов. Уникальность дома в том, что панорамные виды открываются уже со второго этажа. ""Необыденный дом"" высотой в 7 этажей спланирован в классическом архитектурном стиле, выполнен из монолитного каркаса с кирпичными стенами. Благоустроенная придомовая территория, для жильцов предусмотрена наземная и подземная автостоянки на 24 парковочных места со съездом по пандусу. Имеется собственная служба эксплуатации. Во дворе дома обустроена детская площадка для отдыха самых маленьких жителей. В непосредственной близости многочисленные и разнообразные инфраструктурные объекты района ""Золотая Миля"".",район Хамовники,2,7,д.5,140 000 000,,,4,10,170,184,1-й Обыденский пер.,м. Кропоткинская
,"Москва, район Раменки, Мосфильмовская ул., 88к2с4",Москва,"Номер объекта: 012340. В ЖК ""Мосфильмовский"" предлагается на продажу квартира общей площадью 131,9 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 3 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются виды во внутреннюю облагороженную придомовую территорию. Большой выбор свободных парковочных мест в подземном паргинге. ЖК ""Мосфильмовский"" - уникальный жилой комплекс, расположенный в одном из самых респектабельных и экологически чистых районов Москвы.",район Раменки,20,20,д.88к2с4,87 612 491,,,4,,,"131,9",Мосфильмовская ул.,м. Раменки
,"Москва, район Раменки, Мосфильмовская ул., 8",Москва,"Номер объекта: 012112. В ЖК ""Дом на Мосфильмовской"" предлагается на продажу квартира общей площадью 97,4 м2. Квартира без отделки, со свободной планировкой. Есть возможность сделать 2 изолированные комнаты, гостиную-кухню. Из окон квартиры открываются шикарные виды на гольф-клуб и на МГУ. Большой выбор свободных парковочных мест в подземном паргинге.ЖК ""Дом на Мосфильмовской"" - уникальный небоскреб, расположенный в одном из самых респектабельных и экологически чистых районов Москвы недалеко от Воробьевых гор.",район Раменки,11,50,д.8,35 000 000,,,3,,,"97,4",Мосфильмовская ул.,м. Парк Победы
,"Москва, район Нижегородский, Нижегородская ул., 84к1",Москва,"БЕЗ КОМИССИИ для покупателя. В восточном районе Москвы располагается двухкомнатная квартира без отделки. В подъезде за спокойствием и порядком следит консьерж. Территория дома находится под охраной, во дворе детская площадка. В шаговой доступности работает супермаркет и кафе, детский сад и школа. В шаговой доступности станция МЦК ""Нижегородская"", рядом с которой к концу года планируется открытие станции метро. А для автовладельцев плюсом будет близкая и удобная развязка на Третье транспортное кольцо. - Дом находится на охраняемой территории.",район Нижегородский,11,18,д.84к1,13 300 000,9,пешком,2,19,48,88,Нижегородская ул.,м. Нижегородская
,"Москва, район Тверской, Большая Грузинская ул., 69",Москва,"Номер объекта: ТВ0134. Просторная, светлая, двухсторонняя квартира с большими площадями остекления. Большое количество французских окон наделяет квартиру возможностью разнообразных вариаций планировочных решений: гостиная-кухня-столовая, 2 или 3 спальни и небольшой кабинет. Из окон открывается вид на 2-Брестскую и Большую Грузинскую улицы.",район Тверской,4,11,д.69,98 616 638,,,5,,,"183,4",Большая Грузинская ул.,м. Белорусская
