name,coordinates,image
Бульвар Рокоссовского,55°48′53″ с. ш. 37°44′03″ в. д.HЯ,Ulitsa Podbelskogo (Улица Подбельского) (5254016179).jpg
Черкизовская,55°48′14″ с. ш. 37°44′41″ в. д.HЯ
Преображенская площадь,55°47′47″ с. ш. 37°42′54″ в. д.HЯ,Preobragenskaya ploschad2.jpg
Сокольники,55°47′20″ с. ш. 37°40′49″ в. д.HЯ,Metro MSK Line1 Sokolniki.jpg
Красносельская,55°46′48″ с. ш. 37°40′02″ в. д.HЯ,Metro MSK Line1 Krasnoselskaya (img1).jpg
Комсомольская,55°46′31″ с. ш. 37°39′22″ в. д.HЯ,Комсомольская-радиальная 13.jpg
Красные Ворота,55°46′08″ с. ш. 37°38′55″ в. д.HЯ,Metro Krasnye Vorota.jpg
Чистые пруды,55°45′57″ с. ш. 37°38′20″ в. д.HЯ,MosMetro Chistye Prudy asv2018-01.jpg
Лубянка,55°45′35″ с. ш. 37°37′38″ в. д.HЯ,MoscowMetro Lubyanka 5871.jpg
Охотный,55°45′28″ с. ш. 37°37′00″ в. д.HЯ,MosMetro Okhotny Ryad img1 asv2018-01.jpg
Библиотека имени Ленина,55°45′04″ с. ш. 37°36′36″ в. д.HЯ,Bib-Lenina-mm.jpg
Кропоткинская,55°44′43″ с. ш. 37°36′13″ в. д.HЯ,Metro MSK Line1 Kropotkinskaya.jpg
Парк культуры,55°44′08″ с. ш. 37°35′39″ в. д.HЯ,MoscowMetro ParkKulturyRadialnaya HB2.jpg
Фрунзенская,55°43′36″ с. ш. 37°34′43″ в. д.HЯ,MosMetro Frunzenskaya 01-2017.jpg
Спортивная,55°43′24″ с. ш. 37°33′50″ в. д.HЯ,Metro MSK Line1 Sportivnaya (img1).jpg
Воробьёвы горы,55°42′37″ с. ш. 37°33′33″ в. д.HЯ,Metro MSK Line1 Vorobyovy Gory.jpg
Университет,55°41′33″ с. ш. 37°32′00″ в. д.HЯ,Metro MSK Line1 Universitet.jpg
Проспект Вернадского,55°40′38″ с. ш. 37°30′22″ в. д.HЯ,Prospekt vernadskogo3.jpg
Юго-Западная,55°39′49″ с. ш. 37°29′00″ в. д.HЯ,Ugo-zapadnaya3.jpg
Тропарёво,55°38′45″ с. ш. 37°28′21″ в. д.HЯ,Тропарево 11.jpg
Румянцево,55°37′59″ с. ш. 37°26′31″ в. д.HЯ,Moscow Rumyantsevo Metro station 04-2016.jpg
Саларьево,55°37′19″ с. ш. 37°25′27″ в. д.HЯ,Moscow Salarievo Metro station 04-2016.jpg
Ховрино,55°52′44″ с. ш. 37°28′53″ в. д.HЯ,MM Hovrino.jpg
Речной вокзал,55°51′18″ с. ш. 37°28′34″ в. д.HЯ,Moscow RechnoyVokzaltMetroStation 1091.jpg
Водный стадион,55°50′23″ с. ш. 37°29′12″ в. д.HЯ,Moscow VodnyStadiontMetroStation 1123.jpg
Войковская,55°49′08″ с. ш. 37°29′53″ в. д.HЯ,Moscow VoykovskayaMetroStation 1152.jpg
Сокол,55°48′18″ с. ш. 37°30′55″ в. д.HЯ,Metro MSK Line2 Sokol.jpg
Аэропорт,55°48′01″ с. ш. 37°31′58″ в. д.HЯ,MosMetro Aeroport platform 01-2016.jpg
